,0
0,1000000.0
1,1000088.952
2,1000007.636
3,1000190.0160869875
4,999876.7827509278
5,999831.4907509278
6,1000142.7140243653
7,999722.7726089599
8,1000068.5860130242
9,999367.9980772331
10,999782.2342871025
11,998880.9474545219
12,999764.5125629051
13,998999.9708352592
14,1000867.2508438805
15,1003617.1065107659
16,1003206.6391300285
17,1002577.9430589224
18,1000091.2082228935
19,1000009.3187744988
20,1000136.5202922751
21,1000400.1081195899
22,1003649.1118707495
23,1002701.8816554785
24,1002679.0800997533
25,1003352.8254280004
26,1006704.8618493872
27,1009023.3262784033
28,1012377.064257041
29,1014933.0635746068
30,1018404.6403473227
31,1017762.6938580038
32,1018853.4304632436
33,1023225.6656825294
34,1022496.4126808508
35,1022984.7414440345
36,1023971.6748750038
37,1025242.0997146203
38,1022892.7040256554
39,1035081.9301982705
40,1029300.7550258691
41,1029837.6261092201
42,1026952.1900480249
43,1023995.8959868294
44,1022107.7506292397
45,1023347.5648724497
46,1026919.30254533
47,1027438.108422614
48,1023507.4354848776
49,1032362.2481468114
50,1030332.1203657826
51,1024068.9601902685
52,1022945.9107794866
53,1009814.8715149602
54,1012190.635500845
55,1011110.5302981702
56,1010376.0587603513
57,1009339.1577657834
58,1016683.8731439724
59,1017634.3657223263
60,1020874.6813303509
61,1018498.4498844662
62,1016727.0773520794
63,1017375.1404736843
64,1014350.8459061948
65,1017202.3236412563
66,1016165.4226466884
67,1016770.2815601864
68,1015560.5637331906
69,1011110.5302981702
70,1004543.4906659069
71,1013443.5575359478
72,1010419.2629684582
73,1008561.4820198574
74,1016770.2815601864
75,1013529.9659521618
76,1024676.6516437664
77,1030638.8323625318
78,1029990.7692409268
79,1030854.8534030666
80,1028608.234581503
81,1031200.4870679227
82,1031589.3249408856
83,1030336.4029057827
84,1031546.1207327786
85,1035607.316294836
86,1035434.4994624081
87,1034484.0068840542
88,1036341.787832655
89,1034224.7816354122
90,1032496.6133111324
91,1038199.5687812559
92,1037249.0762029019
93,1018844.0835493221
94,1022948.4833194867
95,1029601.9313679639
96,1034829.6405489102
97,1037119.463578581
98,1039538.8992325726
99,1044507.383164877
100,1044291.362124342
101,1043384.0737540951
