,0
0,1000000.0
1,1000088.952
2,1000007.636
3,1000205.356
4,999859.914
5,999814.622
6,1000153.33
7,999708.9099999999
8,1000079.6039999999
9,999314.1939999999
10,999768.9439999999
11,998799.5939999999
12,999750.4119999999
13,998938.0639999999
14,1000922.8339999999
15,1003832.3139999999
16,1003402.3999999999
17,1002744.5339999999
18,1000142.7399999999
19,1000059.2299999999
20,1000193.7239999998
21,1000463.1999999998
22,1003871.6459999998
23,1002882.7779999998
24,1002860.9919999999
25,1003565.2039999998
26,1007055.3559999998
27,1009466.2359999998
28,1012947.9339999998
29,1015598.3799999998
30,1019211.6399999998
31,1018544.6559999997
32,1019681.7119999998
33,1024254.6939999998
34,1023493.3959999997
35,1024006.1399999998
36,1025038.8519999997
37,1026360.5039999997
38,1023881.0819999997
39,1036742.7879999997
40,1030654.8319999997
41,1031222.1779999997
42,1028192.4939999997
43,1025091.9519999998
44,1023186.5874242475
45,1024419.6514305873
46,1027966.6624274991
47,1028426.040872354
48,1024443.3624988721
49,1033055.8050984738
50,1030976.5402561261
51,1024805.053880798
52,1023633.5889169462
53,1010747.3916472928
54,1013078.4626862104
55,1011975.7807594297
56,1011194.0131292188
57,1010133.6482395093
58,1017436.540541618
59,1018318.603357185
60,1021513.9731375272
61,1019143.8980986098
62,1017325.0770586894
63,1017911.3566147578
64,1014838.6480197718
65,1017578.4124664728
66,1016494.6824567633
67,1017038.6249757606
68,1015781.5919377662
69,1011386.6371194298
70,1004771.449484603
71,1013420.8331212759
72,1010350.17566629
73,1008488.6710722272
74,1016649.1269957606
75,1013437.5812154184
76,1024534.4667797952
77,1030309.6718956248
78,1029614.6934395564
79,1030410.6741809808
80,1028117.4362532771
81,1030600.8024775508
82,1030942.1011711918
83,1029671.3290961261
84,1030832.4781341206
85,1034748.9916188159
86,1034528.8788705311
87,1033553.360054964
88,1035361.4826490269
89,1033247.5198325367
90,1031473.1223496875
91,1036990.8472430897
92,1035993.9010275226
93,1033921.8647995106
94,1033969.7007995106
95,1034230.3467995105
96,1034545.6847995105
97,1034709.7807995105
98,1034941.7707995105
99,1035583.6487995106
100,1035500.2967995106
101,1035283.9547995107
102,1035181.6547995106
